Symbol,xRNA16h,xRNA6h,pUUC16h,pUUC6h,R84816h,R8486h
IL18R1,0.201751998,1.457236409,0.091465253,0.010875766,-0.483131644,-3.103665545
TFCP2L1,-0.437413895,-0.401988108,0.091662491,0.288570679,0.871838884,2.445896666
RBM43,0.317074452,1.047893032,-0.510285953,-0.207128589,-2.688109154,-3.024638627
TANK,0.667065659,0.172177136,-0.133249891,-0.311569585,-1.69374777,-2.313500393
DLX1,-0.678733613,-0.734298903,0.544462086,0.220048712,2.14660298,2.6929656
FAM117B,-0.74397648,-0.622412345,-0.098476406,0.100345178,1.00484659,2.792831019
FN1,1.896625984,1.842279974,-1.216057381,-0.524619591,-0.894039254,-2.969117728
HES6,-0.366751808,-0.461387278,0.532128464,0.400351448,1.389538887,2.912418673
ATP2B2,-0.204257278,-0.673449494,-0.024648237,0.154476375,1.946731771,3.677266966
GPD1L,-0.059276571,-0.49471894,0.101865681,0.215290721,1.573098873,3.043614035
VIPR1,-1.155213028,-0.841212158,0.124365585,0.545070243,1.86824492,2.575875717
ARHGEF3,1.339466339,0.269239434,-0.371539198,-0.27766056,-2.079431468,-2.63161777
PHLDB2,1.201604859,0.252411901,-0.015256338,0.304538059,-0.748568803,-3.520130971
CCDC80,-0.483424647,0.935345998,-0.783509939,0.067057641,-0.917787679,-3.89489221
MGLL,0.565909174,-0.326611385,0.032881094,0.465006473,-1.676284154,-2.828582359
CPEB2,0.93728174,0.616674565,-0.270325603,-0.229072964,-2.164052361,-2.891838042
TLR10,-0.415613303,-0.723348526,0.190534369,0.432286542,0.460557537,2.566880663
ARHGAP24,-0.205497627,-0.114324415,-0.06054911,0.051033889,-0.877431579,-2.450899829
NFKB1,1.124119573,1.304025741,-0.127144427,-0.247961901,-1.4392354,-2.323795148
TERT,-0.155673212,-0.486879684,-0.016341318,0.528264795,0.718689647,3.377683248
LUCAT1,-0.161727842,-0.237834471,-0.739066774,-0.434766619,-1.520103524,-2.853104642
CYFIP2,-1.070936127,-0.456813531,-0.058288591,0.117803554,1.028703737,2.396222847
MIR3142HG,-0.17252852,0.493848923,-0.202752731,-0.077399989,-2.312667974,-3.704489335
ERGIC1,-0.015596394,-0.064370462,0.085586006,0.134365784,0.914140189,2.370687997
DBN1,-0.208126866,0.01706914,0.794052921,0.421085962,1.393468025,2.859231977
HLA-DQB1,0.414711584,0.345007721,0.384258123,0.119053951,-1.91422774,-2.324978508
PIM1,-0.819881412,0.73525578,0.504713533,0.09714238,-0.462390586,-2.812866583
SLC29A1,0.286903281,-0.248183243,0.204174753,0.161623871,0.662639903,2.418351278
LOC730101,-0.15058288,-0.343730039,-0.198915323,-0.114627031,-1.624633034,-2.398183092
FRK,0.011326079,0.700413698,-0.308295837,-0.148223802,-1.809862114,-3.03325124
FOXP2,-0.413116577,-0.035770133,-0.043566169,0.087706176,0.695075841,2.548443311
