"","Symbol","xRNA16h","xRNA6h","pUUC16h","pUUC6h","R84816h","R8486h"
"8758","UBTF",0.380607668827434,-0.372776582534765,0.245899079888996,-0.490154784344458,0.171260537104395,0.656918289634901
"8759","SLC25A39",0.343863895961733,0.201631637308379,-0.0154480944389506,-0.0717984884122304,-0.145921385852352,0.624491768263577
"8760","GRN",0.290247920590341,0.0382046684104645,-0.192778458370267,-0.122079621954336,-1.11027138526044,0.335730147927658
"8762","GPATCH8",-0.137946753739879,0.0202200984913253,-0.00603460456536617,0.0424597632006138,-0.0335129096755474,-0.337079374686974
"8763","FZD2",-0.0822736538899622,-0.522222000692755,-0.724024087429465,-0.819252229166587,0.173356623702978,1.01378758749249
"8764","CCDC43",0.25572700985268,0.00835215839815748,0.222870596820308,0.10019539192623,-0.227338628994347,-0.0450613314027426
"8765","DBF4B",0.385360643170508,0.50184366680424,0.698838155805833,0.574625153031153,-0.700409955732148,-1.26324055439143
"8766","EFTUD2",0.266451706215326,0.113031426410999,0.365043418358749,0.177530279781401,-0.360158050852348,-0.372096589760782
"8767","KIF18B",-0.132339046703151,0.137340235984447,-0.243997667890306,-0.0398249293981558,0.545166690119324,-0.0115285432750496
"8768","DCAKD",-0.114363486931834,0.121402147345774,-0.423087664213969,-0.124904324869986,0.0864518035930516,0.77841761092298
"8769","NMT1",0.289752566456969,0.0999967976771095,0.293184734055253,0.127950467265425,-0.193415183297386,0.125234797949745
"8770","HEXIM1",0.703291170659489,0.870465565644246,0.296775596813551,0.62755702025583,-0.541927600676764,0.0391333161974268
"8772","LOC339192",0.506634185962933,1.33612450966221,0.895302140018594,1.48662784845453,-0.971092820936155,-1.09796755371027
"8773","FMNL1",0.234223371425968,0.192674972761397,0.00597267532716474,0.130016171898197,-0.715599916189806,-0.813796423534229
"8774","MAP3K14",0.45205954891479,0.0684523078911729,0.306514094550844,-0.0334811484885559,-2.10642844301343,-1.72617276193559
"8775","ARL17A",-0.181904236990087,0.0275207473058815,0.427349937481663,0.180520544103568,-0.378478185714147,-0.687809748597493
